"\alpha","\rho_p/\rho_t","\varphi from trajectories","\varphi numerical integration","\varphi approx."
0.5,52.84117175600564,0.03856046024529309,0.038560738699978,0.03784927367781157
0.5,59.3514611085269,0.034259887009116384,0.03426019786583101,0.03369756932443107
0.5,66.65593698102398,0.030449565090889346,0.030449946140025386,0.030004828558924782
0.5,74.85152658918786,0.027071446539266145,0.02707188678551553,0.02671956144726828
0.5,84.04698143874383,0.024074656140355713,0.024075217817568717,0.02379621407962749
0.5,94.36432042484316,0.02141469348413837,0.021415438234792195,0.02119445103661547
0.5,105.94044897639276,0.019052674598614046,0.01905362892674045,0.01887853021804223
0.5,118.92897577091716,0.016954232184950277,0.016955536350837797,0.016816759435132698
0.5,133.50225106318854,0.015089227758690208,0.015091029269285183,0.014981020615185503
0.5,149.85365366672178,0.013431019946201148,0.013433584663991471,0.013346354446179116
0.5,168.20015699385536,0.011956202007183987,0.011959772380682132,0.01189059516978971
0.5,188.7852081778371,0.010643952186445236,0.01064891895158615,0.010594050215171827
0.5,211.88195849249357,0.009475853845340157,0.00948275178458946,0.00943921790552545
0.5,237.79688790747983,0.00843554396935115,0.008445074921261675,0.008410538921707978
0.5,266.87387188796674,0.007508485860105274,0.007521566239217847,0.007494176797358046
0.5,299.4987444214693,0.00668163535800977,0.006699567428460007,0.0066778242471483475
1.,2.802517088381532,0.3552548444565413,0.3552547703331541,0.29999540084762016
1.,3.1971692390203974,0.26153430555599816,0.26153448661553735,0.23050475271805448
1.,3.6306955383288835,0.19675302755182283,0.19675318825912314,0.1787439997616193
1.,4.110285366440847,0.1501491122461353,0.1501491233445389,0.13946563053936284
1.,4.643095498870993,0.11572904717439206,0.11572910659185442,0.1092938945968068
1.,5.236664263862385,0.08984058256092704,0.08984057837767256,0.08592146385649065
1.,5.8991575368736715,0.07011290923704051,0.07011289913686447,0.0677066215405783
1.,6.639551219579633,0.05493475331667699,0.054934737922372356,0.053448274526308924
1.,7.4677909836649645,0.0431725427188486,0.04317256848802842,0.042250011142545056
1.,8.394947739673126,0.03400755649110717,0.034007461587536536,0.03343298347429751
1.,9.433378768042918,0.026836296016434294,0.026836375813480196,0.02647747641739438
1.,10.596900584562423,0.021206842105623736,0.02120702515837003,0.020982315981153764
1.,11.900977973099732,0.016776596039232063,0.01677670696860334,0.016635882624065877
1.,13.36293294164675,0.013283245876933178,0.013283393297715662,0.013194943941508858
1.,15.002177039186208,0.01052443247850221,0.010524403421109607,0.010468936382943519
1.,16.840470625872207,0.008342997467478824,0.00834306916938754,0.008308118235448076
1.,18.90221274966566,0.006616498398025314,0.0066165593200904205,0.00659456026534072
1.,21.21476569309261,0.005249025555996529,0.005249073601082177,0.005235216630897005
1.,23.808818592773417,0.004165253783388474,0.004165259343560823,0.0041565732628364455
1.,26.71879504185473,0.003305937982977123,0.003305966366575319,0.003300482116482272
1.,29.983310130406473,0.0026243439205818277,0.0026243653322159943,0.0026209092310347107
1.,33.64568302829237,0.002083545026241835,0.002083499605725514,0.002081385017952532
1.,37.754511931005354,0.0016543619019725659,0.001654310896007427,0.0016530020882818454
1.,42.36431901916129,0.0013136735952020587,0.0013136873423786888,0.0013128366042219224
1.,47.53627399802206,0.0010432174272290073,0.001043187850459315,0.0010427035571277212
1.,53.33900582627333,0.0008284918649571442,0.0008284928781456813,0.000828173427363177
1.,59.849513412577146,0.0006580154041037969,0.0006579593126367911,0.0006577939558696641
1.,67.15418736643396,0.0005226208794972548,0.0005225624361320236,0.0005224742970413826
1.,75.34995636467902,0.00041508119180226237,0.0004150378512837172,0.00041499715252784047
1.,84.54557334718807,0.0003296804549943659,0.0003296619693475833,0.00032963201394327444
1.,94.86305861018991,0.0002618560658750973,0.000261831751119157,0.0002618284781472458
1.,106.43931894697903,0.0002079987317280109,0.00020796671678580125,0.000207972999160462
1.,119.42796432185447,0.00016520642246077236,0.0001651711400514344,0.00016519582692631375
1.,134.001346183777,0.00013122293794845015,0.00013118839905290614,0.00013121781665231274
1.,150.35284446720257,0.00010422918744735184,0.0001042024520394591,0.0001042288226497651
1.,168.69943362795837,0.00008279045354204582,0.0000827638178995116,0.00008279114334295971
1.,189.28456176327623,0.000065760236939055,0.00006573274714183341,0.00006576286785674664
1.,212.38138102077514,0.000052232824733945685,0.00005220775165115654,0.00005223700286312483
1.,238.2963721620867,0.00004149838974520714,0.000041474375513494977,0.00004149313695823879
1.,267.37341137667374,0.000032951842412470934,0.00003293188256225932,0.000032959050944245297
1.,299.9983333101879,0.000026171550169054046,0.000026154709445336266,0.000026180229334439182
1.5,2.940405708001653,0.11107677821844938,0.1110767824994845,0.10489310869691575
1.5,3.3197341556403277,0.07581061534060755,0.07581061864619398,0.07288846680144502
1.5,3.740519813473784,0.052360895509911826,0.05236082396244246,0.0509533633354763
1.5,4.209103383592714,0.036446737427237905,0.03644666015078135,0.03576020110207906
1.5,4.732192544904831,0.025501745355422763,0.02550170515027972,0.025164106435271852
1.5,5.317063636337508,0.017906943078255178,0.017906976081500936,0.017739981002314015
1.5,5.97171661260705,0.01260480153317448,0.01260483039378002,0.012521926646246876
1.5,6.7050139822848225,0.008887721232823467,0.008887744357990002,0.008846462977032519
1.5,7.526818081788742,0.00627420853930716,0.006274297311454902,0.006253662960105083
1.5,8.448134418326202,0.004432916355606999,0.00443302242396415,0.004422687997544758
1.5,9.481265999466927,0.0031338632708316377,0.003133858231556985,0.0031287418991947672
1.5,10.639982323663373,0.0022164024731835302,0.0022163915052795247,0.0022138388676013684
1.5,11.939706190990588,0.0015680011398734723,0.0015680055363018752,0.0015667070809140156
1.5,13.397721363646475,0.0011094954591461858,0.0011094791220922495,0.0011088579118365253
1.5,15.03340416263836,0.0007852101362694785,0.0007851576938087135,0.0007848682367014815
1.5,16.868482294057113,0.0005557439522032969,0.0005557237585849251,0.0005555724545181364
1.5,18.927324481720113,0.0003933891840039642,0.00039326318996302234,0.00039327926119826567
1.5,21.237264849938235,0.00027844499438254677,0.0002784448030057618,0.0002784024028735014
1.5,23.828966431650883,0.0001970942110949567,0.00019708373367599563,0.00019708478988710485
1.5,26.73682867699488,0.0001395356869043577,0.00013951378374787993,0.0001395208283912589
1.5,29.99944440845986,0.00009877725107747384,0.00009869924202199343,0.00009877091852265567
1.5,33.660112315367655,0.00006992750204305678,0.00006989982169525177,0.000069923320266326
1.5,37.767411810598205,0.00004950575075961063,0.0000494345339605573,0.00004950135040946264
1.5,42.37584789494185,0.00003504463267922574,0.00003502573119185115,0.00003504398738681526
1.5,47.54657459959392,0.000024813385694870303,0.000024746252666574264,0.000024809100323285282
1.5,53.34820661705982,0.00001756441863813252,0.00001750413664769468,0.000017563426478054973
1.5,59.85772989868881,0.000012438457642097422,0.00001237975436163552,0.000012433917849772407
1.5,67.16152330850916,8.802045388599339e-6,8.774113319454102e-6,8.80252183325166e-6
1.5,75.35650489531005,6.232198930215891e-6,6.183252051705779e-6,6.231699185189563e-6
1.5,84.55141799743366,4.414881477395955e-6,4.379921604957815e-6,4.4117007038963186e-6
1.5,94.86827424938356,3.123779122534977e-6,3.0788564662209694e-6,3.1232426131511593e-6
1.5,106.443972640663,2.2114807508922516e-6,2.172190889826453e-6,2.2110853128159993e-6
1.5,119.43211611282776,1.5655948027431542e-6,1.5412473444165187e-6,1.565327955939819e-6
1.5,134.00504980153372,1.1084199134059329e-6,1.0703061392725033e-6,1.1081670504534285e-6
1.5,150.35614797110543,7.845081748233594e-7,7.610231476107288e-7,7.845220465366634e-7
