"X1","Y1","X2","Y2","X3","Y3","X4","Y4","X5","Y5","X6","Y6","X7","Y7","X8","Y8","X9","Y9","X10","Y10","X11","Y11","X12","Y12","X13","Y13","X14","Y14"
-630.2466882378919,-280.3286692707169,-630.2387687372054,-280.3307335752419,-630.2625492667069,-280.3453512793427,-630.6968722317768,-281.0554114064834,-630.2793063182132,-280.36273237306403,-629.5479713764893,-282.19511754886844,-630.3070980449199,-280.39038756167236,-624.7470124877458,-286.71736103188084,-630.324651070156,-280.4059548006391,-617.676719665449,-294.9381130232771,-630.3319524409634,-280.41048059437344,-607.1738272768736,-306.9068500653505,-630.3311916001892,-280.40726564812115,-591.356159026888,-322.5988089491393
-629.0178084330632,-279.82447020312503,-629.0099021595656,-279.8265273235583,-629.0336518504889,-279.8411690800842,-629.4694350085533,-280.55058193833696,-629.0503893322426,-279.85856787720184,-628.3246482861138,-281.68822546769957,-629.0781493807474,-279.88625129672886,-623.5402823003958,-286.2022199433554,-629.0956821171644,-279.9018348337845,-616.4981813460088,-294.40942325632716,-629.1029736992781,-279.90636585333027,-606.0356611267601,-306.359572337114,-629.1022121509739,-279.903148186944,-590.2716251537774,-322.02847234022335
-627.7888007713733,-279.3202005329194,-627.7809076086695,-279.32225048611156,-627.8046264935535,-279.33691625578336,-628.2418702905301,-280.0456827690968,-627.8213444013586,-279.3543327269143,-627.1011994098676,-281.18126621506167,-627.849072604444,-279.3820443385858,-622.3334329432382,-285.6870217635958,-627.866585091483,-279.39764413650107,-615.3195353970772,-293.8806928255427,-627.8738668703459,-279.4021803658342,-604.897404368366,-305.8122759157789,-627.8731045966034,-279.39895997858434,-589.1870243177744,-321.4581435412233
-626.55966535295,-278.8158601650719,-626.5517852078616,-278.8179029662851,-626.5754732809411,-278.83259271230304,-627.0141781990651,-279.54071380389075,-626.5921716358173,-278.8500268259673,-625.8776248462839,-280.6742397029756,-626.6198678388171,-278.87776658968227,-621.1264645524233,-285.17176642416695,-626.6373600754216,-278.89338261409705,-614.1407819370772,-293.35192169680164,-626.6446320425653,-278.89792403655446,-603.7590571937802,-305.2649608136339,-626.6438690491807,-278.8947009258814,-588.1023567456622,-320.8878226191904
-625.3304022779215,-278.31144900455456,-625.3225350804864,-278.3134846674623,-625.3461922976924,-278.32819835550623,-625.7863588555164,-279.0356749478469,-625.3628711458748,-278.34565007812654,-624.6539246938958,-280.16714584346244,-625.3905352066732,-278.3734179524573,-619.9193772641012,-284.6564538566336,-625.4080071512903,-278.3890501718806,-612.9619210838839,-292.8231098359527,-625.4152693043347,-278.39359677015995,-602.620619795092,-304.7176270429677,-625.4145056208084,-278.3903709316743,-587.0176226692249,-320.31750964176774
-624.1010116464158,-277.8069669563393,-624.0931573498885,-277.80899549302666,-624.1167836288479,-277.82373309125575,-624.5584123812421,-278.5305661060932,-624.133443041787,-277.84120238715786,-623.4300990512362,-279.65998454854304,-624.1610748308199,-277.86899832935,-618.7121712144217,-284.14108399256077,-624.1785264013992,-277.8846467151601,-611.7829529731458,-292.2942572088059,-624.185778744053,-277.88919847131984,-601.4820923643903,-304.17027461606915,-624.1850144235891,-277.8859698988022,-585.9328223202472,-319.74720467659864
-622.871493558561,-277.30241392539807,-622.8636521394125,-277.3044353463615,-622.8872473594482,-277.3191968254146,-623.3303388976001,-278.0253871837575,-622.9038874338102,-277.3366836568271,-622.2061480168384,-279.1527557302383,-622.9314868340637,-277.36450762279947,-617.504846539535,-283.6256567635131,-622.948917908058,-277.3801721492436,-610.603877772675,-291.7653637814317,-622.9561604501184,-277.3847290447032,-600.3434750937644,-303.62290354522696,-622.9553955696258,-277.38149773010434,-584.8479559305134,-319.17690779132636
-621.6418481144852,-276.7977898167029,-621.6340195724028,-276.7998041308503,-621.6575835745341,-276.81458946384566,-622.1021385259486,-277.52013808596786,-621.6742044322001,-276.83209379090005,-620.9820716892353,-278.6454593005693,-621.7017713392117,-276.85994573524476,-616.2974033755913,-283.11017210105564,-621.7191817535769,-276.8756263794395,-609.4246956526299,-291.2364295199317,-621.7264145109295,-276.88018839497914,-599.2047681753032,-303.07551384272983,-621.7256491710209,-276.8769543284199,-583.7630237318081,-318.60661905359404
-620.4120754143163,-276.2930945352257,-620.4042597722042,-276.29510174987644,-620.4277923979115,-276.30991090990415,-620.8738113876457,-277.0148187178521,-620.444394147213,-276.32743269314244,-619.7578701669602,-278.13809517155687,-620.4719284690711,-276.355312569125,-615.0898418587407,-282.59462993675305,-620.4893180202656,-276.37100931105584,-608.2454067831688,-290.7074543904075,-620.496541014885,-276.37557642681674,-598.0659718010961,-302.5281055208666,-620.4957753398774,-276.372339596588,-582.6780259559155,-318.0363385310449
-619.1821755581825,-275.7883279859384,-619.1743728621611,-275.7903281068234,-619.197874002292,-275.80516106356976,-619.6453576040492,-276.5094289845383,-619.2144566891048,-275.8227002673202,-618.5335435485459,-277.630663255222,-619.2419583464488,-275.8506080268791,-613.8821621251329,-282.07903020217026,-619.2593267906595,-275.86632084937946,-607.0660113344502,-290.1784383589609,-619.2665400503832,-275.87089304488507,-596.9270861632319,-301.9806785919259,-619.2657741882978,-275.86765343744787,-581.5929628346202,-317.46606629132236
-617.9521486462119,-275.283490073813,-617.944358965618,-275.28548310507443,-617.9678285241985,-275.3003398270224,-618.4167772965175,-276.00396879115436,-617.9843921681318,-275.3178964171991,-617.3090919325257,-277.1231634635856,-618.0118610941516,-275.34583201094637,-612.6743643109183,-281.5633728288721,-618.0292082115675,-275.36156089380006,-605.8865094766323,-289.64938139169345,-618.0364117054412,-275.36613815303,-595.7881114537998,-301.4332330681965,-618.0356458283849,-275.3628957538387,-580.5078345997067,-316.8958024020694
-616.7219947785323,-274.7785807038215,-616.7142182059196,-274.7805666480131,-616.7376560997351,-274.79544710246864,-617.1880705864083,-275.49843804282824,-616.7542006945498,-274.813021046545,-616.0845154174326,-276.6155957086687,-616.7816368349868,-274.84098442376575,-611.4664485522469,-281.0476577484235,-616.7989624607044,-274.8567293416331,-604.7069013798736,-289.1202834547069,-616.8061561118411,-274.86131165181547,-594.6490478648891,-300.88576896196724,-616.8053903722414,-274.85806644859963,-579.4226414829593,-316.3255469309295
-615.4917140552722,-274.2735997809358,-615.4839507064103,-274.27557863902285,-615.5073568650059,-274.2904827921148,-615.9592375950799,-274.9928366446879,-615.5238823786149,-274.30807405912356,-614.859814089976,-276.1079599035769,-615.5512856917611,-274.3360651677763,-610.2584149852686,-280.53188489238914,-615.5685896852224,-274.35182609331,-603.5271872143322,-288.59114451410284,-615.5757734244771,-274.356413440989,-593.5098955885886,-300.33828628552675,-615.5750079319702,-274.35316542456985,-578.3373837161627,-315.75529994554563
-614.2613065765592,-273.7685472101279,-614.2535565904346,-273.770518981487,-614.2769309561148,-273.7854467981674,-614.7302784438903,-274.4871645018613,-614.2934373305832,-273.8030553587007,-613.6349880505912,-275.6002559611331,-614.3208077872818,-273.8310741454172,-609.0502637461337,-280.016054192334,-614.3380900322733,-273.8468510492623,-602.3473671501669,-288.061964535983,-614.3452637982454,-273.8514434202982,-592.3706548169876,-299.7907850511639,-614.3444986196737,-273.84819258458856,-577.252061531101,-315.1850615135612
-613.0307724526516,-273.2634228957272,-613.0230359813372,-273.26538757878893,-613.046378509166,-273.2803390228329,-613.5011932541975,-273.9814215194763,-613.0628656607106,-273.2979648490422,-612.410037463359,-275.0924837892945,-613.0902032443556,-273.3260112591274,-607.8419949709922,-279.50016557982286,-613.107463649009,-273.34180410992127,-601.1674413575356,-287.53274348644896,-613.1146273880416,-273.34640148949075,-591.231325742175,-299.24326527116733,-613.1138625474548,-273.34314783149495,-576.166675159559,-314.6148317026194
-611.8001118776909,-272.75822673664135,-611.7923890024628,-272.76018433431216,-611.8156996602634,-272.7751593683176,-612.2719821473596,-273.47560760266094,-611.8321674792534,-272.7928024339139,-611.1849624949922,-274.58464329580255,-611.8594721857897,-272.82087641134615,-606.6336087959941,-278.9842189864206,-611.8767106825815,-272.8366851757185,-599.987410006597,-287.0034813316025,-611.8838643487619,-272.84128754831414,-590.0919085562402,-298.69572695782585,-611.8830998274162,-272.83803106812815,-575.0812248333209,-314.0446105803635
-610.5693250182065,-272.25295863335435,-610.5616157771556,-272.2549091514401,-610.5848945455111,-272.2699077368281,-611.0426452447347,-272.9697226565432,-610.6013428964675,-272.2875680170815,-609.9597633122038,-274.0767343883986,-610.628614734391,-272.31566950451236,-605.4251053572895,-278.46821434369207,-610.6458312801426,-272.33149414708544,-598.8072732675092,-286.47417803754513,-610.6529748353022,-272.336101496516,-588.9524034512722,-298.14817012342814,-610.6522105716607,-272.33284219732735,-573.9957107841713,-313.47439821443663
-609.3384120281742,-271.7476184871318,-609.3307164287602,-271.74956193355604,-609.3539633010132,-271.76458403057075,-609.8131826676807,-272.463766586251,-609.3703920226089,-271.782261502311,-608.7344400817066,-273.56875697482405,-609.3976310129666,-271.8103904410652,-604.2164847910284,-277.95215158320207,-609.4148255888445,-271.82623092445345,-597.6270313104309,-285.94483357037865,-609.4219590025583,-271.83084323384395,-587.8128106193599,-297.600594780263,-609.4211948922909,-271.82758112193176,-572.9101332438945,-312.9041946724821
-608.1073730615697,-271.2422061992392,-608.0996910806214,-271.2441425840435,-608.1229060628738,-271.259188151752,-608.5835945375558,-271.9577392969122,-608.139314953077,-271.27688279484255,-607.5089929702134,-273.06071096282017,-608.1665211443234,-271.3050391234437,-603.007747233361,-277.43603063651545,-608.1836937558388,-271.32089540825405,-596.4466843055202,-285.4154478962046,-608.1908170054263,-271.3255126600455,-586.6731302525926,-297.0530009406192,-608.1900529014097,-271.3222477447806,-571.8244924442749,-312.33400002214313
-606.8762082723688,-270.7367216709422,-606.8685398560837,-270.7386510062859,-606.8917229671968,-270.75372000257835,-607.353880975718,-271.45164069365495,-606.9081118078392,-270.7714317986321,-606.2834221444372,-272.55259626012827,-606.9352852512684,-270.79961545408696,-601.7988928204373,-276.91985143519713,-606.9524359282776,-270.8154874989186,-595.2662324229354,-284.8860209811248,-606.959548998802,-270.8201096748683,-585.5333625430594,-296.5053886167854,-606.9587847116509,-270.8168419680023,-570.7387886170973,-311.7638143310629
-605.6449178145474,-270.23116480350626,-605.6372628784914,-270.23308710366666,-605.6604141500862,-270.2481794852562,-606.1240421035254,-270.945470681607,-605.6767827683683,-270.2659084124816,-605.0577277710908,-272.0444127744898,-605.7039234566085,-270.29411933543406,-600.5899216829167,-276.4036139114306,-605.7210522533128,-270.3100070968787,-594.0856758328351,-284.35655279124074,-605.7281551375816,-270.31463417806,-584.3935076828494,-295.9577578210504,-605.7273904806594,-270.3113636904467,-569.6530219941459,-311.19363766688474
-604.4135018420812,-269.72553549819696,-604.4058602655967,-269.72745078013236,-604.4289797476463,-269.7425665019919,-604.894078042336,-270.4392291658964,-604.4453280174185,-269.7603125350791,-603.831910016887,-271.5361604136461,-604.4724358799449,-269.78855067022806,-599.380833974736,-275.8873179971131,-604.4895428780964,-269.80445410256567,-592.9050147053777,-283.82704329265425,-604.4966355766608,-269.80908606936805,-583.2535658640517,-295.41010856570296,-604.4958703892103,-269.8058128100251,-568.5671928072051,-310.6234700972518
-603.1819605089463,-269.2198336562799,-603.1743321653297,-269.2217419377288,-603.197419895981,-269.2368809549921,-603.6639889116332,-269.93291605183026,-603.2137477377439,-269.25464406511253,-602.6059690485388,-271.0278390853384,-603.2408226469498,-269.28290936120374,-598.1716298928434,-275.3709636215178,-603.2579079497801,-269.29882841641097,-591.7242492107213,-283.29749245146684,-603.2649904709356,-269.30346524854014,-582.1135372787552,-294.8624408630318,-603.2642246180823,-269.30018922464876,-567.4813012880594,-310.0533116898073
-601.9502939691182,-268.71405917902047,-601.9426787619345,-268.71596047571455,-601.9657347311944,-268.7311227464631,-602.4337748088794,-269.42653124738786,-601.9820421120985,-268.74890290126973,-601.379905032759,-270.51944869730823,-602.0090839377356,-268.7771953068447,-596.9623096355174,-274.8545507138185,-602.026147615516,-268.7931299388461,-590.5433795190243,-282.76790023378027,-602.033219975302,-268.7977716153238,-580.9734221190494,-294.31475472532566,-602.032453348054,-268.7944928322291,-566.3953476684933,-309.48316251219455
