"E","\rho_p/\rho_t","\varphi"
0.1,68505.49232798508,0.000029088793815273887
0.1,108574.18162162066,0.000018806548152079
0.1,172078.7745120019,0.00001157241832670785
0.1,272726.77147275757,7.303120607027441e-6
0.1,432243.0966899354,4.598304906826609e-6
0.1,685059.4346125668,3.163728588274381e-6
0.1,1.0857463275287866e6,1.835103726510778e-6
0.1,1.7207922564199048e6,1.1568613599829688e-6
0.1,2.727272226019455e6,7.301267613089796e-7
0.2,1.911034812533321,1.9568814421263634
0.2,3.684984002972574,0.6939409412950877
0.2,6.275489583967249,0.35752361729705684
0.2,10.312109981412869,0.2056004838257173
0.2,16.67874752839946,0.12347869346190779
0.2,26.752920964086154,0.07573436491248718
0.2,42.71017467070192,0.04698390061414326
0.2,67.99524698170397,0.02934029288567444
0.2,108.06606455931735,0.018394640113424194
0.2,171.57198442631656,0.011560260187138497
0.2,272.2208123449872,0.0072758817362928285
0.2,431.7376595246993,0.0045836419587457
0.2,684.5543257427678,0.0028891842995844618
0.2,1085.2414254479556,0.001822105223004653
0.2,1720.287484648727,0.0011495232693449645
0.2,2726.7675364025717,0.000725608176901562
0.2,4321.930840388963,0.00045823113179274894
0.2,6850.09425199627,0.0002884607708847631
0.2,10856.963201966833,0.00018189673078221037
0.2,17207.42250387609,0.00011474307638701746
0.2,27272.222208108924,0.00007236725571790072
0.2,43223.85473498891,0.0000455903432095846
0.2,68505.48853051235,0.000028817153765800242
0.2,108574.17782418952,0.000018185789090102745
0.2,172078.77071459353,0.000011471850234807827
0.2,272726.7676753632,7.237193474453648e-6
0.2,432243.09289254923,4.5669215656216295e-6
0.2,685059.4308151855,2.874476864168944e-6
0.2,1.085746323731408e6,1.8162373117896649e-6
0.2,1.7207922526225294e6,1.146589966062752e-6
0.2,2.727272222222081e6,7.229884336294568e-7
0.3,1.9425862146632,1.5733137970538298
0.3,3.6778156740345755,0.6322128589192186
0.3,6.2675663029078015,0.3331268838823488
0.3,10.304680639443914,0.19493469016043483
0.3,16.671684754880182,0.11851927492265518
0.3,26.74608764224249,0.07328959404007661
0.3,42.70348275453314,0.04570925688427644
0.3,67.98864247842141,0.028641790546287037
0.3,108.05951454164597,0.017995887774263662
0.3,171.56546838767488,0.011325049544472478
0.3,272.2143176491649,0.007134143963009611
0.3,431.7311781219978,0.004496919417817671
0.3,684.5478529003959,0.002835454444928418
0.3,1085.2349579225208,0.001788389997193959
0.3,1720.281020475926,0.0011281610421318316
0.3,2726.7610743487344,0.0007120319437633254
0.3,4321.924379519354,0.0004492627725891679
0.3,6850.0877924112865,0.00028350864226804644
0.3,10856.956742461274,0.00017870301606558934
0.3,17207.416044701986,0.0001128322979180331
0.3,27272.215749191284,0.00007113325103013342
0.3,43223.84827625237,0.000044942265843567975
0.3,68505.48207189364,0.00002829814809692011
0.3,108574.17136564225,0.000017849222695843555
0.3,172078.7642560852,0.000011258318375837192
0.3,272726.76121687883,7.1063120407663045e-6
0.3,432243.08643407933,4.4828508244983554e-6
0.3,685059.4243567241,2.827809902018241e-6
0.3,1.0857463172729511e6,1.786310243829345e-6
0.3,1.7207922461640753e6,1.1302889285981707e-6
0.3,2.72727221576363e6,7.14556233711517e-7
0.4,1.9648150717927586,1.2895404317037826
0.4,3.667683689564751,0.554924047177335
0.4,6.2561519856192245,0.30154785495245023
0.4,10.293944423178237,0.18034455207312944
0.4,16.66147727633265,0.11136543982747206
0.4,26.736214439221012,0.06960545634674382
0.4,42.69381628096022,0.04372136557187957
0.4,67.97910404958174,0.027523214790899742
0.4,108.05005584365082,0.017344761905396282
0.4,171.55605958376603,0.010936296499547922
0.4,272.2049402048896,0.006897652127882346
0.4,431.7218202743296,0.004351109683644607
0.4,684.5385074245808,0.002744861438415679
0.4,1085.2256202294461,0.001731787839347052
0.4,1720.2716876979841,0.0010926746188445612
0.4,2726.751744670457,0.0006895101279483382
0.4,4321.915050989931,0.00043516600727306693
0.4,6850.078465921334,0.000274545152241169
0.4,10856.947416560011,0.00017322181443587653
0.4,17207.406719280185,0.00010924693525088495
0.4,27272.206424116102,0.00006899210103792357
0.4,43223.83895144485,0.00004351890569334853
0.4,68505.47274725956,0.000027450632274510434
0.4,108574.16204111256,0.000017300165259008975
0.4,172078.75493161246,0.000010910843387504038
0.4,272726.75189244107,6.945930705595569e-6
0.4,432243.0771096628,4.342334869947705e-6
0.4,685059.4150323201,2.7585367296929535e-6
0.4,1.0857463079485535e6,1.716841041499078e-6
0.4,1.7207922368396814e6,1.0984151627067633e-6
0.4,2.727272206439242e6,6.973738198399899e-7
0.5,1.9796745189436311,1.0475081394422185
0.5,3.654476863843297,0.46951999316230497
0.5,6.240902938757374,0.2646375222182467
0.5,10.27953454553267,0.16205045728388542
0.5,16.647774011826677,0.1018054768000219
0.5,26.722964828142583,0.0644210202794667
0.5,42.680848486226814,0.04081110473988226
0.5,67.96631122432207,0.02583771489460613
0.5,108.03737205704041,0.016343060646596345
0.5,171.54344399963006,0.010329572466884642
0.5,272.19236737654455,0.006525061939457875
0.5,431.70927448320595,0.004120099567259149
0.5,684.5259785216139,0.0026008304531764184
0.5,1085.2131020066506,0.001641519863890123
0.5,1720.2591762047416,0.0010359977146813663
0.5,2726.739237420311,0.0006537314972365024
0.5,4321.902547366499,0.0004125490233401987
0.5,6850.065961679114,0.0002604078904930025
0.5,10856.934914743426,0.00016435714425979878
0.5,17207.394218055164,0.00010365363277482962
0.5,27272.193923331968,0.00006543846236014794
0.5,43223.826450862296,0.000041225743534705714
0.5,68505.46024691564,0.000026084439395499873
0.5,108574.14954091053,0.000016422618391616034
0.5,172078.7424314883,0.00001034999249528884
0.5,272726.73939236504,6.594772714915906e-6
0.5,432243.06460961554,4.127320661441298e-6
