"t","\alpha","\chi","v_F","\rho_t","x","y","z","\rho","\phi","\dot x","\dot y","\dot z","\ddot x","\ddot y","\ddot z","k_x","k_y","k_z","k_\rho","k_\phi","k_\rho^(+)","k_\rho^(-)","s_x","s_y","s_z","L_x","L_y","L_z","J_x","J_y","J_z","E"
11.940298507462687,"1/2",1,1,1,-0.17444843354595574,-1.4898176672889456,-3.980101693476439,1.4999963125731053,-1.6873593448633588,0.5734342245975231,-0.06712884404993934,-0.3333341004441761,0.025850105419577857,0.2208313979749903,-2.924715507054189e-7,0.27624800232860647,-0.5069724007176198,0.,0.4714047642741214,-0.5538204581576476,0.47140949755629213,0.4714047642736095,0.23923755789718015,-0.4390505561907345,0.,-2.0178017106420145,-1.0994951418875698,0.49999969557865703,-1.7785641527448344,-1.5385456980783043,0.49999969557865703,0.19244997255791807
12.039800995024876,"1/2",1,1,1,-0.11727634306441959,-1.4954030929505804,-4.01326926712065,1.4999947170069385,-1.6490607053718866,0.5755840039267711,-0.04512953231357952,-0.3333341299338036,0.017360459098307374,0.22135476792584186,-3.0026996255135746e-7,0.29545677229889705,-0.4960228305546668,0.,0.4714043170816368,-0.5596605943485906,0.47141060253061473,0.47140431708799585,0.2558730630868539,-0.4295683596199223,0.,-1.990673181655238,-1.1857475840298275,0.4999987147728796,-1.7348001185683841,-1.6153159436497497,0.4999987147728796,0.1924495950449962
12.139303482587065,"1/2",1,1,1,-0.059932371103728954,-1.498796941493571,-4.046436843737759,1.4999947203029076,-1.610762019892803,0.5768890423285296,-0.023078143965194687,-0.3333341601993925,0.008870812777036895,0.22187813787669344,-3.0806837439729594e-7,0.31423254673261064,-0.48434631420967394,0.,0.4714043744198665,-0.5646805278845184,0.4714107064735974,0.4714043743424259,0.27213332237395116,-0.4194561417522875,0.,-1.9598767709466096,-1.2715221546003828,0.4999988030065099,-1.6877434485726583,-1.6909782963526703,0.4999988030065099,0.19244962900618334
12.238805970149254,"1/2",1,1,1,-0.002500571487514553,-1.4999940311654774,-4.079604423404973,1.4999961154582444,-1.5724633795425362,0.5773493398027983,-0.0009746790047848114,-0.33333419124094277,0.0003811664557664164,0.22240150782754503,-3.1586678624323443e-7,0.3325477585696602,-0.471959901515728,0.,0.47140487131441905,-0.5688728219628999,0.4714099393539631,0.47140487136416576,0.2879944496208408,-0.4087287572309894,0.,-1.9254097018933394,-1.3566633068541947,0.4999998224049289,-1.6374152522724985,-1.7653920640851841,0.4999998224049289,0.1924500213734181
12.338308457711443,"1/2",1,1,1,0.054934925919528976,-1.4989895429831794,-4.112772006203607,1.4999958320137776,-1.5341647491500172,0.57696222258242,0.02116103305210182,-0.33333422329932894,-0.008151694043244131,0.2222022725574995,-3.3304982649914565e-7,0.3503748974651591,-0.45888077321154963,0.,0.47140484291023343,0.5722301724491682,0.4714102316722932,0.47140484292574303,0.30343319817771064,-0.39740193034715643,0.,-1.8872719982495276,-1.4410120699711655,0.4999997261418045,-1.5838388000718169,-1.838414000318322,0.4999997261418045,0.19244998432167348
12.437810945273633,"1/2",1,1,1,0.11228977289318967,-1.495785281676057,-4.1459395923029865,1.4999942006471643,-1.4958660919856255,0.5757297480086038,0.04323157287481016,-0.33333425772800357,-0.01662104489046254,0.22141557787893812,-3.5896653448393556e-7,0.36768785636791795,-0.44512824017047814,0.,0.4714043932219386,0.5747477737198793,0.47141137555029783,0.47140439324564604,0.31842693993384197,-0.3854922618216472,0.,-1.845474794574938,-1.5244116413247648,0.4999987348090636,-1.527047854641096,-1.909903903146412,0.4999987348090636,0.19244960275686007
12.537313432835822,"1/2",1,1,1,0.16948005913924002,-1.4903888411864499,-4.179107181956403,1.4999941294481554,-1.4575673860860419,0.5736545519574523,0.06522383462004969,-0.33333429473545517,-0.025090395737680946,0.22062888320037674,-3.848832424687255e-7,0.384461952347834,-0.4307233352893408,0.,0.4714044362524832,0.5764230448117524,0.47141154337705166,0.47140443628322903,0.3329536921484892,-0.3730172099041666,0.,-1.8000389839438997,-1.6067077062458133,0.4999987873024802,-1.4670852917954105,-1.97972491614998,0.4999987873024802,0.19244962296160584
12.63681592039801,"1/2",1,1,1,0.2264219317743631,-1.4828080103777874,-4.2122747754204495,1.4999954956028925,-1.419268723172715,0.5707366344289657,0.08713781828782045,-0.33333433432168363,-0.03355974658489935,0.21984218852181536,-4.107999504535154e-7,0.40067256383433814,-0.41568713996272805,0.,0.4714049335034281,0.5772534824423468,0.4714108126833509,0.47140493348492296,0.34699211483614245,-0.359995100302131,0.,-1.7509884541316691,-1.6877429338424224,0.49999980194804106,-1.4039963392955266,-2.0477380341445532,0.49999980194804106,0.192450013499532
12.7363184079602,"1/2",1,1,1,0.2830315177232616,-1.4730508988185191,-4.245442372946459,1.4999952635041154,-1.3809700712904607,0.566976231875034,0.10895534227315956,-0.33333437617155665,-0.04196651989973052,0.21836844775804112,-4.2415750086994724e-7,0.41629513417755015,-0.4000408408598307,0.,0.47140493109819115,0.5772367036754642,0.47141109178121904,0.4714049310162132,0.3605216318316841,-0.3464450215855606,0.,-1.6983503366954562,-1.7673570022888032,0.4999997552341686,-1.337828704863772,-2.113802023874364,0.4999997552341686,0.19244999551932362
12.835820895522389,"1/2",1,1,1,0.33922570295615406,-1.4611319951757302,-4.278609974666993,1.4999935949437608,-1.342671393585387,0.5623901075838135,0.1305801584052552,-0.3333344184286243,-0.05021457835380023,0.21629035649708078,-4.252095591142784e-7,0.4313067627802957,-0.3838074607089491,0.,0.4714044799967282,0.5763727948708521,0.47141227902545535,0.47140447996469154,0.37352241326829383,-0.33238683305183725,0.,-1.6421624297409194,-1.8453934173731037,0.4999987551751491,-1.2686400164726255,-2.177780250424941,0.4999987551751491,0.19244961059569282
