"t","\alpha","\chi","v_F","\rho_t","x","y","z","\dot x","\dot y","\dot z","\ddot x","\ddot y","\ddot z","k_x","k_y","k_z","s_x","s_y","s_z","L_x","L_y","L_z","J_x","J_y","J_z","E"
74.66730199501248,"1/2",1,1,1,-46.56537798056688,-23.430442028091882,-0.8388069916223436,-0.746176986772431,-0.43096930962243224,-0.00012027307936546181,-0.0009828712423432182,-0.0005677662774662197,4.64239333401547e-6,-0.7138659077460728,-0.4047537366825415,0.,-0.43495104354564795,-0.24661222540367256,0.,-0.33951026421458486,0.5987957144982369,2.1213169703938357,-0.7744613077602328,0.3521834890945643,2.1213169703938357,0.7071068259574377
74.9920801745636,"1/2",1,1,1,-46.80777169347721,-23.570441326456187,-0.8388458102129076,-0.7464950238880995,-0.4311530269798558,-0.00011877789957850093,-0.0009756169547894456,-0.0005635742434856831,4.564997316596514e-6,-0.7135356720252543,-0.40462656090453447,0.,-0.4349353340188834,-0.2466399303070822,0.,-0.33941929531562665,0.5985464089158359,2.121316992131559,-0.77435462933451,0.3519064786087537,2.121316992131559,0.707106824860566
75.31685835411471,"1/2",1,1,1,-47.05026831530872,-23.7105000711197,-0.8388841472836019,-0.7468107049694624,-0.43133538285611456,-0.0001173078563291819,-0.0009683626672356731,-0.0005593822095051464,4.487601299177557e-6,-0.713208319571194,-0.40450019898152595,0.,-0.4349198242615908,-0.24666727886825013,0.,-0.3393288044986647,0.5982991529990517,2.1213169837606065,-0.7742486287602555,0.35163187413080155,2.1213169837606065,0.707106825023891
75.64163653366583,"1/2",1,1,1,-47.292867080872895,-23.85061781990305,-0.8389220109982253,-0.7471240300165196,-0.43151637725120856,-0.0001158629496175047,-0.0009611083796819007,-0.0005551901755246097,4.4102052817586016e-6,-0.7128838106265506,-0.4043746434278669,0.,-0.434904510817758,-0.24669427733607155,0.,-0.3392387890611963,0.5980539200189038,2.121316945259481,-0.7741432998789544,0.35135964268283226,2.121316945259481,0.7071068264615304
75.96641471321695,"1/2",1,1,1,-47.5355672249812,-23.99079413062686,-0.8389594095205766,-0.7474349990292714,-0.43169601016513764,-0.00011444317944346934,-0.0009538540921281282,-0.000550998141544073,4.332809264339646e-6,-0.7125621054339821,-0.4042498867579083,0.,-0.43488939021597384,-0.2467209319810106,0.,-0.3391492462931747,0.5978106832216324,2.1213168909188913,-0.7740386365091485,0.3510897512406218,2.1213168909188913,0.7071068285899028
76.2911928927681,"1/2",1,1,1,-47.77836798244511,-24.131028561111766,-0.8389963510144549,-0.7477436120077172,-0.43187428159790203,-0.00011304854580707569,-0.0009465998045743552,-0.000546806107563536,4.255413246920682e-6,-0.7122431642361471,-0.40412592148600107,0.,-0.43487445896965804,-0.2467472490947917,0.,-0.33906017347710904,0.5975694158291165,2.121316849363799,-0.7739346324467671,0.35082216673432476,2.121316849363799,0.7071068302402168
76.61597107231921,"1/2",1,1,1,-48.02126858783504,-24.271320669036633,-0.8390328436018326,-0.7480498827689871,-0.4320511995081303,-0.00011167836128287753,-0.0009396379292787565,-0.0005427828894168429,4.185401109432956e-6,-0.7119269473985134,-0.40400274009216586,0.,-0.43485971360456427,-0.24677323494203407,0.,-0.338971567842462,0.5973300911125471,2.121316858949514,-0.7738312814470263,0.350556856170513,2.121316858949514,0.7071068297473887
76.94074925187033,"1/2",1,1,1,-48.26426830858151,-24.411670031057646,-0.8390688946944717,-0.7483539915946682,-0.43222686805563215,-0.00011032954272898788,-0.0009330791732148656,-0.0005389926642524716,4.120689870902439e-6,-0.7116134181991136,-0.4038803352633379,0.,-0.4348451510111391,-0.24679889513954417,0.,-0.3388834264982416,0.5970926842580851,2.121316910959798,-0.7737285775093807,0.350293789118541,2.121316910959798,0.7071068271930688
77.26552743142145,"1/2",1,1,1,-48.50736645132714,-24.552076246491602,-0.8391045111331749,-0.7486559702794947,-0.43240130562070495,-0.00010900174097334468,-0.0009265204171509747,-0.0005352024390881002,4.055978632371921e-6,-0.7113025425439214,-0.40375870012628257,0.,-0.4348307683424084,-0.24682423483675747,0.,-0.33879574668523044,0.5968571722291016,2.121316966075396,-0.7736265150276389,0.35003293739234415,2.121316966075396,0.7071068243152787
77.59030561097256,"1/2",1,1,1,-48.750562324248655,-24.692538915542272,-0.8391396997437399,-0.7489558188234665,-0.43257451220334886,-0.00010769495601594791,-0.0009199616610870838,-0.0005314122139237288,3.991267393841404e-6,-0.7109942864192496,-0.4036378278300881,0.,-0.43481656274496167,-0.24684925919001,0.,-0.33870852565055554,0.5966235320253637,2.12131699591953,-0.7735250883955171,0.3497742728353537,2.12131699591953,0.7071068223898033
77.91508379052368,"1/2",1,1,1,-48.99385523552279,-24.833057638413425,-0.8391744673519641,-0.7492535372265839,-0.43274648780356373,-0.0001064091878567976,-0.000913402905023193,-0.0005276219887593574,3.9265561553108875e-6,-0.710688615811411,-0.4035177115238428,0.,-0.4348025313530344,-0.24687397337304204,0.,-0.3386217606351043,0.5963917406266455,2.121316983959576,-0.7734242919881387,0.3495177672536034,2.121316983959576,0.7071068221695809
78.23986197007483,"1/2",1,1,1,-49.23724449332629,-24.973632015308837,-0.839208820783645,-0.7495491254888469,-0.43291723242134966,-0.0001051444364958936,-0.0009068441489593015,-0.0005238317635949856,3.861844916780364e-6,-0.7103854967067181,-0.403398344356635,0.,-0.43478867128868487,-0.2468983825767596,0.,-0.3385354488736064,0.5961617749930488,2.1213169255247033,-0.7733241201622914,0.3492633924162892,2.1213169255247033,0.7071068238953737
78.56464014962594,"1/2",1,1,1,-49.48072940583585,-25.114261646432254,-0.8392427668645801,-0.7498425836102552,-0.4330867460567066,-0.00010390070193323616,-0.0009002853928954107,-0.0005200415384306143,3.7971336782498468e-6,-0.7100848950914842,-0.403279719477553,0.,-0.4347749796619694,-0.24692249200899888,0.,-0.3384495875947133,0.5959336120653222,2.1213168278232564,-0.7732245672566826,0.3490111200563234,2.1213168278232564,0.7071068273061697
78.88941832917706,"1/2",1,1,1,-49.72430928122822,-25.254946131987452,-0.8392763124205668,-0.7501339115908089,-0.43325502870963456,-0.00010267798416882516,-0.0008937266368315198,-0.0005162513132662429,3.73242243971933e-6,-0.7097867769520219,-0.40316183003568506,0.,-0.4347614535711157,-0.24694630689429364,0.,-0.33836417402107705,0.5957072287651722,2.121316709960065,-0.7731256275921927,0.3487609218708786,2.121316709960065,0.7071068316493263
79.21419650872818,"1/2",1,1,1,-49.96798342768014,-25.395685072178207,-0.8393094642774026,-0.7504231094305082,-0.4334220803801336,-0.0001014762832026606,-0.0008871678807676289,-0.0005124610881018715,3.6677112011888125e-6,-0.7094911082746438,-0.4030446691801195,0.,-0.4347480901026939,-0.24696983247364435,0.,-0.338279205369429,0.595482601995572,2.12131660295349,-0.7730272954721229,0.34851276952192767,2.12131660295349,0.7071068356904653
79.5389746882793,"1/2",1,1,1,-50.211751153368326,-25.53647806720828,-0.839342229260885,-0.7507101771293527,-0.43358790106820355,-0.00010029559903474248,-0.000880609124703738,-0.0005086708629375001,3.602999962658295e-6,-0.709197855045663,-0.40292823005994466,0.,-0.43473488633178603,-0.24699307400429085,0.,-0.33819467885065674,0.5952597086410648,2.1213165497523536,-0.7729295651824428,0.348266634636774,2.1213165497523536,0.7071068377231222
79.86375286783044,"1/2",1,1,1,-50.45561178160987,-25.677324726088862,-0.8393746138310526,-0.7509952476417724,-0.4337525680398383,-0.00009913294325873335,-0.0008748124270925597,-0.0005053229216483188,3.55370296386444e-6,-0.7089069847127659,-0.4028125058940218,0.,-0.4347218395224972,-0.24701603640690228,0.,-0.3381105915811131,0.5950385265354139,2.1213165711039963,-0.7728324311036103,0.3480224901285116,2.1213165711039963,0.7071068367225435
80.18853104738156,"1/2",1,1,1,-50.699564685785454,-25.818224686846328,-0.8394066235550438,-0.7512784144444704,-0.43391613522282735,-0.00009798737760157289,-0.0008689426680888153,-0.0005019318342907017,3.500746683853665e-6,-0.7086184685744001,-0.4026974903348183,0.,-0.4347089473906369,-0.24703872380362651,0.,-0.33802694067603967,0.5948190360947831,2.1213166211307657,-0.7727358880666766,0.34778031229115663,2.1213166211307657,0.7071068343473557
80.51330922693268,"1/2",1,1,1,-50.943609246786096,-25.959177591808306,-0.8394382640172435,-0.7515596748775247,-0.43407860105463764,-0.00009685901098863013,-0.0008630729090850709,-0.0004985407469330846,3.44779040384289e-6,-0.7083322780378718,-0.4025831771967608,0.,-0.4346962076161675,-0.2470611403764701,0.,-0.33794372338859524,0.5946012178234905,2.121316668846175,-0.7726399310047627,0.3475400774470204,2.121316668846175,0.7071068319759913
80.8380874064838,"1/2",1,1,1,-51.187744845464536,-26.100183083279962,-0.8394695408035259,-0.7518390289409355,-0.4342399655352693,-0.00009574784341990509,-0.0008572031500813266,-0.0004951496595754676,3.394834123832115e-6,-0.708048384505042,-0.4024695602944619,0.,-0.4346836178688175,-0.2470832903222634,0.,-0.3378609369677889,0.5943850522071259,2.1213166930170178,-0.7725445548366063,0.3473017618848625,2.1213166930170178,0.7071068305510969
81.16286558603491,"1/2",1,1,1,-51.43197086267351,-26.241240803566466,-0.8395004594997653,-0.7521164766347026,-0.4344002286647222,-0.00009465387489539772,-0.0008513333910775822,-0.0004917585722178505,3.34187784382134e-6,-0.7077667593777716,-0.4023566334425344,0.,-0.434671175809073,-0.24710517785096675,0.,-0.33777857865778627,0.594170519716299,2.121316682027848,-0.7724497544668593,0.3470653418653322,2.121316682027848,0.7071068305920786
81.48764376558603,"1/2",1,1,1,-51.67628667926575,-26.382350394972985,-0.839531025691836,-0.7523920179588259,-0.4345593904429964,-0.00009357710541510807,-0.0008454636320738378,-0.0004883674848602334,3.2889215638105647e-6,-0.7074873740579213,-0.40224439045559085,0.,-0.4346588790883053,-0.24712680718549732,0.,-0.3376966456979696,0.5939576008068703,2.1213166338942204,-0.7723555247862749,0.34683079362137303,2.1213166338942204,0.7071068322033935
81.81242194513717,"1/2",1,1,1,-51.92069167609403,-26.523511499804705,-0.8395612449656121,-0.7526656529133058,-0.43471745087009195,-0.00009251753497903601,-0.0008395938730700929,-0.00048497639750261603,3.235965283799785e-6,-0.7072101999473523,-0.40213282514824394,0.,-0.4346467253488959,-0.2471481825615583,0.,-0.3376151353229985,0.5937462759201786,2.1213165562758194,-0.7722618606718945,0.3465980933586203,2.1213165562758194,0.7071068350826448
