"\alpha","\rho_p/\rho_t","\varphi from trajectories","\varphi numerical integration","\varphi approx."
0.5,54.01538476817227,0.03770675592178525,0.03770700964408302,0.03702648786560442
0.5,59.75024580546456,0.0340274232976673,0.03402770636516017,0.03347266496326214
1.,2.8025170883815314,0.35525484445654215,0.3552547882979278,0.2999954026359618
1.,3.1432487029656078,0.271881508227593,0.27188172342427297,0.2384809264994948
1.,3.512580972997844,0.21169322469694554,0.21169341305165146,0.19096705431741287
1.,3.915262703705453,0.16680315616210104,0.16680321419459343,0.1537054683972318
1.,4.355942288525789,0.1325652455217172,0.13256522407134508,0.12417863858982758
1.,4.839414564523605,0.10602927889993301,0.10602925369365845,0.1006063703148573
1.,5.3707671138818736,0.08521705650590787,0.08521706006400986,0.08168428181210945
1.,5.955483787688988,0.06874667545000199,0.06874666900200621,0.06643195582279343
1.,6.599529694619058,0.05562196317989583,0.05562194636991302,0.05409849169161979
1.,7.309429072331354,0.04510681834770954,0.04510683958297523,0.044100571564307606
1.,8.092341916745914,0.03664665762656197,0.03664664790402217,0.03598012638130882
1.,8.956142991617385,0.029816836121383195,0.029816900636668198,0.029374406239870362
1.,9.9095055023229,0.024288467307542395,0.024288551419427762,0.023994249112686532
1.,10.961991183842503,0.019803845170016134,0.019803957434528563,0.019607952498672105
1.,12.124148278430527,0.016159648355245197,0.016159812482516855,0.016029082068798984
1.,13.407618671867874,0.013194315717590447,0.013194409702568244,0.013107137032291317
1.,14.825255519252122,0.010778498645908432,0.0107785665915614,0.010720295427667961
1.,16.391252684686656,0.008808621158627123,0.008808597013217234,0.008769742359455142
1.,18.121287356719108,0.007201177141537103,0.007201205196669225,0.0071751841154462865
1.,20.032677363943353,0.005888663656997952,0.005888688330952352,0.00587128473761908
1.,22.144554790821463,0.004816428533175754,0.004816493289663715,0.00480482128637239
1.,24.4780576760328,0.003940148164123285,0.003940119611146375,0.003932395702535625
1.,27.056541724136842,0.003223785952943685,0.003223812034807594,0.003218596702560108
1.,29.905814173303995,0.0026379808969580754,0.0026380032283142008,0.00263451005974991
1.,33.05439216726391,0.0021588363294406648,0.002158788704403225,0.0021565164528663198
1.,36.53378822570522,0.0017668664389475048,0.0017668621060931144,0.0017653129563219574
1.,40.378825678234925,0.0014461372182278552,0.00144615033971629,0.0014451195078960335
1.,44.627987221857616,0.00118371197753184,0.0011837214793404272,0.0011830321236243962
1.,49.3238000930152,0.0009689509501650365,0.0009689098612968294,0.0009684965253876864
1.,54.51326171273069,0.0007931676759916227,0.0007931366441020771,0.0007928787693882393
1.,60.24831006643353,0.0006493306959387648,0.0006492922631959885,0.0006491146137104618
1.5,2.940405708001653,0.1110767782184496,0.11107678253587139,0.10489310869691575
1.5,3.2676543550226502,0.07964992915493366,0.07964989182695081,0.07642939112489523
1.5,3.625560817467649,0.057658575274904644,0.05765852922823189,0.05595554757300135
1.5,4.01824696267243,0.04201166220855054,0.04201155951157087,0.0411016125387232
1.5,4.450007903217902,0.030751115034847138,0.030751057627985467,0.030261216222463607
1.5,4.925423310865418,0.022582184253938282,0.022582163609759398,0.022317114589307144
1.5,5.4494409151030005,0.016622248926095012,0.016622291916145837,0.01647831804093927
1.5,6.027448126224508,0.012256147195571299,0.012256178299995035,0.012177784903901014
1.5,6.665339721161197,0.00904813152397072,0.009048159088759888,0.009005376268877822
1.5,7.369585773626714,0.006685887415064685,0.0066859009497237665,0.006662534881335236
1.5,8.147302467553807,0.004943658462433446,0.004943748744340226,0.004930911521269527
1.5,9.006327566984702,0.00365723460830083,0.0036573286727192844,0.0036502743726673412
1.5,9.955301930114546,0.0027065699744268984,0.002706560189740248,0.0027027472183604496
1.5,11.003758267515465,0.0020035565505527406,0.002003619643245358,0.00200145401045356
1.5,12.162218274830035,0.0014834265815269853,0.0014834454048644474,0.0014822803329730047
1.5,13.442299268806574,0.0010984874781505062,0.001098512753504366,0.001097862779147888
1.5,14.856831497263578,0.0008135391890278319,0.0008134237048889048,0.0008131864469600452
1.5,16.41998737147317,0.0006025514599611557,0.0006025304337686777,0.0006023518795316917
