"X1","Y1","X2","Y2","X3","Y3","X4","Y4","X5","Y5","X6","Y6","X7","Y7","X8","Y8","X9","Y9","X10","Y10","X11","Y11","X12","Y12","X13","Y13","X14","Y14"
-653.6379196178136,-307.0341310868159,-653.6300525712653,-307.03661075400464,-653.6564626627817,-307.0491724349216,-652.8692847295384,-307.29675492148084,-653.676054861601,-307.0648558226348,-651.7421444698457,-308.59116150120565,-653.7088572246797,-307.08985669298886,-648.2328626421196,-314.285472101093,-653.7300277451318,-307.10408722118876,-640.1222526622695,-323.05166757123067,-653.7393497853508,-307.10838420512954,-628.7657848181585,-336.01058121958835,-653.739149622735,-307.10567194077083,-613.4722780264598,-353.74216329352214
-652.4125635790516,-306.49859422789916,-652.4047090468029,-306.501065871345,-652.4310877428063,-306.5136600418216,-651.6451600393542,-306.7604418152449,-652.4506601354374,-306.52936903448455,-650.5219211782693,-308.0525585424591,-652.4834288670186,-306.55441157404414,-647.028517197962,-313.737771479961,-652.5045779091975,-306.5686667606629,-638.9444437918269,-322.48885291682205,-652.5138901455477,-306.5729725159241,-627.625942187441,-335.42712023223424,-652.513689904352,-306.57025721908985,-612.382791732903,-353.1331657980993
-651.1870414154583,-305.96297407634495,-651.1791993786612,-305.96543770956765,-651.2055466843766,-305.9780643398895,-650.4208697145018,-306.2240461749822,-651.2250991706455,-305.99379893991477,-649.3015337798112,-307.5138754960731,-651.2578342342204,-306.0188831200669,-645.8240143321106,-313.1900004769461,-651.278961737121,-306.03316295396195,-637.7664891401364,-321.9259833460077,-651.288264172955,-306.03747746522623,-626.4859711122918,-334.84362492520864,-651.2880638524628,-306.0347591329436,-611.2932012451411,-352.52415854151496
-649.9613530097612,-305.427270501323,-649.9535234462106,-305.4297261387135,-649.9798393755547,-305.44238519679567,-649.19641364587,-305.6875678698268,-649.9993718436981,-305.45814540930826,-648.0809821816856,-306.9751122339945,-650.0320732240494,-305.4832711960422,-644.6193539655483,-312.64215898540596,-650.0531791049331,-305.4975756710929,-636.5883886439503,-321.3630587873704,-650.0624717474054,-305.5018989219095,-625.3458715632888,-334.26009527062655,-650.0622713479584,-305.49917755090445,-610.2035065831856,-351.9151415470854
-648.7354982446873,-304.8914833720032,-648.7276811288216,-304.8939310288235,-648.7539657044032,-304.90662248021056,-647.971791724348,-305.1510067689128,-648.7734780387742,-304.92240831141385,-646.8602662911068,-306.4362686281698,-648.8061457342699,-304.94757566695495,-643.4145360236979,-312.09424689850124,-648.827229888497,-304.9619047820471,-635.4101422400206,-320.8000791694929,-648.8365127487317,-304.9662367548477,-624.2056435110096,-333.6765312406028,-648.8363122717303,-304.9635123415452,-609.1137077670477,-351.3061148381268
-647.509477002964,-304.35561255755545,-647.5016723058643,-304.35805224993857,-647.5279255589844,-304.3707760578046,-646.7470038408245,-304.61436274137424,-647.5474176615132,-304.3865875100616,-645.639386015289,-305.8973445505458,-647.580051662646,-304.41179639779017,-642.2095604319825,-311.54626410939244,-647.601113964562,-304.42615015446097,-634.2317498650995,-320.2370444209579,-647.6103870567666,-304.4304908329146,-623.0652869260318,-333.09293280725234,-647.6101865046699,-304.4277633734383,-608.0238048157987,-350.6970784376817
-646.2832891673185,-303.8196579271495,-646.2754968579692,-303.8220896712323,-646.3017188273608,-303.83484579724814,-645.5220498861885,-304.07763565634525,-646.3211906174382,-303.85068286884916,-644.4183412614465,-305.35833987306927,-646.3537909069421,-303.8759332535327,-641.004427115825,-310.9982105112403,-646.3748312346493,-303.89031165133116,-633.0532114559389,-319.6739544703482,-646.3840945506774,-303.8946610248668,-621.9248017789333,-332.50929994269023,-646.3838939276682,-303.89193051515645,-606.9337977558347,-350.0880323693789
-645.0569346204779,-303.2836193499553,-645.0491546830075,-303.2860431573041,-645.0753453975946,-303.2988315662116,-644.296929751329,-303.54082538295995,-645.0947968119951,-303.3146942513889,-643.1971319367935,-304.8192544676869,-645.1273633649223,-303.3399860991676,-639.7991360006483,-310.45008599720535,-645.1483816075589,-303.35438913513553,-631.8745269492912,-319.1108092462465,-645.1576351162981,-303.35874719647666,-620.7841880387771,-331.925632618448,-645.1574344208016,-303.3560136350334,-605.8436866463493,-349.4789766635701
-643.8304132451698,-302.7474966951426,-643.8226456901866,-302.7499125715739,-643.8488051577483,-302.76273323236546,-643.0716433271347,-303.0039317903524,-643.8682361506303,-302.7786215212934,-641.9757579485444,-304.2800882063454,-643.9007689343507,-302.80395479967984,-638.5936870118757,-309.9018904604482,-643.9217649920912,-302.8183824683521,-630.6956962819083,-318.5476086772356,-643.931008659744,-302.8227492103583,-619.643445691123,-331.3419308061984,-643.9308078740374,-302.82001259796493,-604.7534715509049,-348.869911351614
-642.6037249244264,-302.21128983150436,-642.5959697888708,-302.2136977774825,-642.6220979958844,-302.22655066338,-641.8461905044948,-302.4669547476567,-642.64150853879,-302.24246454217496,-640.7542192039133,-303.7408409609915,-642.6740075129917,-302.26783922005427,-637.3880800749297,-309.35362379412953,-642.6949812970464,-302.28229151345874,-629.5167193905424,-317.9843526918982,-642.7042150891946,-302.28666692897457,-618.5025747469587,-330.7581944807105,-642.7040141954566,-302.2839272662688,-603.663152533064,-348.26083646486916
