"t","\alpha","\chi","v_F","\rho_t","x","y","z","\rho","\phi","\dot x","\dot y","\dot z","\ddot x","\ddot y","\ddot z","k_x","k_y","k_z","k_\rho","k_\phi","k_\rho^{(+)}","k_\rho^{(-)}","s_x","s_y","s_z","L_x","L_y","L_z","J_x","J_y","J_z","E"
3510.972568578554,0.5,1,1,110,2362.2595178053098,2215.2398409176303,0.,3238.449873357706,0.7532912981752313,0.6926890191255061,0.7090292191230614,0.,9.224364016497267e-6,8.550289640698474e-6,0.,0.7908673591185832,0.8158809442982122,-1.,1.1349892891327542,0.017687275702302996,1.224475392668035,-0.8429128298305103,0.2612453178354258,0.2695079954325118,-0.3303276014913324,-2215.2398409176303,2362.2595178053098,175.36164326363902,-2214.978595599795,2362.529025800742,175.0313156621477,1.0000000692055906
3523.940149625935,0.5,1,1,110,2371.242793015561,2224.4349526435976,0.,3251.2925494287288,0.7534642590893409,0.6928083217381283,0.70913985545512,0.,9.175769699482227e-6,8.513236957575665e-6,0.,0.790571959233888,0.8156491433548876,-1.,1.134624604886493,0.0177322469450224,1.2239368776625748,-0.8431815311980836,0.2611959295870235,0.26948114428684267,-0.33038855797533995,-2224.4349526435976,2371.242793015561,175.52625410980346,-2224.173756714011,2371.512274159848,175.19586555182812,1.0000000734269139
3536.9077306733166,0.5,1,1,110,2380.227611206345,2233.631495939812,0.,3264.1374267642877,0.7536358553165459,0.6929269942000063,0.7092500113035073,0.,9.127175382467185e-6,8.476184274452857e-6,0.,0.7902784838226624,0.8154186437611151,-1.,1.1342621185188535,0.017776777572594327,1.2234018874940997,-0.8434488010076936,0.2611468573437857,0.269454401956781,-0.3304491551896872,-2233.631495939812,2380.227611206345,175.69105854277652,-2233.3703490824682,2380.497065608302,175.36060938758683,1.0000000753413238
3549.8753117206984,0.5,1,1,110,2389.2139643640053,2242.829464666009,0.,3276.9844941784486,0.7538061028713167,0.6930450715143509,0.7093597068058367,0.,9.083715499324352e-6,8.442100196269245e-6,0.,0.7899869115845979,0.8151894333420027,-1.,1.1339018075329967,0.017820874037662304,1.22287038373696,-0.8437146512623543,0.2610980975917077,0.26942776785443756,-0.3305093967544136,-2242.829464666009,2389.2139643640053,175.8560557402559,-2242.568366568417,2389.4833921318595,175.52554634350147,1.0000000738524848
3562.8428927680798,0.5,1,1,110,2398.2018450224746,2252.0288530001944,0.,3289.8337411204493,0.7539750174821294,0.693162581628037,0.7094689584301092,0.,9.03995972688648e-6,8.407861854978146e-6,0.,0.7896972236858716,0.8149615011251748,-1.,1.1335436520268494,0.017864541899109687,1.2223423313027308,-0.8439790957711251,0.26104964728837426,0.26940124143953875,-0.3305692858712841,-2252.0288530001944,2398.2018450224746,176.02124274594829,-2251.767803352906,2398.471246263914,175.690673460077,1.0000000701398732
3575.810473815461,0.5,1,1,110,2407.1912458239226,2261.229655184944,0.,3302.685157180313,0.7541426146318136,0.6932795243351978,0.7095777660659159,0.,8.996203954448607e-6,8.373623513687048e-6,0.,0.7894094017804433,0.8147348363529248,-1.,1.1331876325764285,0.017907786522697977,1.2218176958656897,-0.8442421483504103,0.26100150347995904,0.26937482217212666,-0.3306288256654826,-2261.229655184944,2407.1912458239226,176.18661634880206,-2260.9686536814643,2407.460620646095,175.85598752313658,1.0000000655784542
3588.778054862843,0.5,1,1,110,2416.1821594104586,2270.431865462802,0.,3315.5387319653328,0.7543089095703069,0.6933958996358333,0.7096861297132571,0.,8.952448182010735e-6,8.339385172395947e-6,0.,0.78912342752201,0.8145094282673837,-1.,1.132833729733953,0.017950613274260507,1.2212964432502165,-0.8445038224011062,0.26095366320404845,0.2693485095076341,-0.33068801926650443,-2270.431865462802,2416.1821594104586,176.35217362206785,-2270.170911799598,2416.4515079199664,176.02148560280133,1.0000000612495137
3601.7456359102243,0.5,1,1,110,2425.1745784241916,2279.6354780763104,0.,3328.3944550998103,0.7544739173190044,0.6935117075299433,0.7097940493721326,0.,8.908692409572863e-6,8.305146831104849e-6,0.,0.7888392825642694,0.8142852661106831,-1.,1.1324819240287227,0.01799302751963039,1.220778539428607,-0.8447641309154632,0.2609061234897708,0.2693223028969346,-0.3307468698080637,-2279.6354780763104,2425.1745784241916,176.51791192323452,-2279.3745719528206,2425.4439007270885,176.18716505342647,1.0000000579457655
3614.713216957606,0.5,1,1,110,2434.1684955072333,2288.8404872680144,0.,3341.2523162247458,0.7546376526750179,0.6936269480175279,0.7099015250425427,0.,8.864936637134989e-6,8.270908489813748e-6,0.,0.7885569485609185,0.8140623391249543,-1.,1.1321321959676762,0.018035034624641066,1.2202639505185777,-0.8450230864835643,0.260858881357877,0.26929620178637886,-0.33080538042805013,-2288.8404872680144,2434.1684955072333,176.68382889413803,-2288.5796283866566,2434.4377917090196,176.35302351370999,1.0000000561760658
3627.6807980049875,0.5,1,1,110,2443.1639033016922,2298.0468872804563,0.,3354.1123049975167,0.754800130215341,0.6937416210985872,0.710008556724487,0.,8.821180864697116e-6,8.23667014852265e-6,0.,0.7882764071656548,0.8138406365523289,-1.,1.1317845260359314,0.01807663995512565,1.2197526427808187,-0.8452807012996694,0.2608119338208206,0.26927020561783044,-0.33086355426848574,-2298.0468872804563,2443.1639033016922,176.84992246106717,-2297.7860753466357,2443.43317350731,176.51905890679868,1.0000000561700295
3640.648379052369,0.5,1,1,110,2452.1607944496786,2307.2546723561804,0.,3366.974411091582,0.7549613643009196,0.693855726773121,0.7101151444179656,0.,8.777425092259244e-6,8.202431807231551e-6,0.,0.7879976400321757,0.8136201476349381,-1.,1.1314388946973166,0.018117848876917253,1.2192445826165987,-0.845536987168439,0.2607652778828372,0.269244313828702,-0.3309213944754829,-2307.2546723561804,2452.1607944496786,177.01619083487387,-2306.9939070782975,2452.430038763507,176.68526944039837,1.0000000578825585
3653.6159600997507,0.5,1,1,110,2461.159161593303,2316.46383673773,0.,3379.838624196181,0.7551213690806341,0.6939692650411295,0.7102212881229788,0.,8.73366931982137e-6,8.16819346594045e-6,0.,0.7877206288141781,0.8134008616149133,-1.,1.1310952823948823,0.018158666755848984,1.2187397365654178,-0.8457919555110331,0.260718910540023,0.26921852585199074,-0.33097890419920195,-2316.46383673773,2461.159161593303,177.1826325110818,-2316.20311782719,2461.428380119155,176.8516536068826,1.000000060998277
3666.583541147132,0.5,1,1,110,2470.158997374674,2325.6743746676493,0.,3392.704934016045,0.7552801584951937,0.6940822359026126,0.7103269878395262,0.,8.689913547383499e-6,8.133955124649352e-6,0.,0.7874453551653599,0.8131827677343861,-1.,1.1307536695514009,0.01819909895775429,1.2182380713027068,-0.8460456173710907,0.26067282878041326,0.2691928411163141,-0.3310360865938097,-2325.6743746676493,2470.158997374674,177.34924626999018,-2325.4137018388687,2470.4281902157904,177.01821018339638,1.000000064935881
3679.551122194514,0.5,1,1,110,2479.160294435903,2334.8862803884813,0.,3405.573330271112,0.755437746280945,0.6941946393575703,0.710432243567608,0.,8.646157774945625e-6,8.099716783358252e-6,0.,0.787171800739418,0.8129658552354878,-1.,1.1304140365698527,0.01823915084846639,1.2177395536375772,-0.8462979834205946,0.2606270295840595,0.26916725904594474,-0.3310929448174381,-2334.8862803884813,2479.160294435903,177.51603117678502,-2334.625653358897,2479.4294616949487,177.18493823196758,1.0000000688524007
