"X1","Y1","Z1"
-88.07044262847805,-33.84095604189516,-0.3590952153912502
-87.96562278879081,-33.80667405550828,-0.3590855445367192
-87.86079726853482,-33.77239021097216,-0.3590758443591587
-87.75596605768128,-33.73810450500517,-0.3590661147363343
-87.65112914620175,-33.703816934325786,-0.35905635554601184
-87.54628652406771,-33.66952749565246,-0.3590465666659569
-87.44143818125058,-33.63523618570363,-0.35903674797393526
-87.33658410772193,-33.6009430011978,-0.3590268993477126
-87.231724293453,-33.566647938853315,-0.35901702066505453
-87.12685872841533,-33.53235099538867,-0.3590071118037268
-87.02198740253566,-33.498052167507694,-0.35899717264118325
-86.91711030525695,-33.463751451755776,-0.35898720304397624
-86.81222742578792,-33.42944884460161,-0.3589772028722608
-86.70733875333644,-33.39514434251357,-0.35896717198617384
-86.60244427711072,-33.36083794196016,-0.35895711024585214
-86.49754398631885,-33.32652963940986,-0.35894701751143265
-86.39263787016891,-33.29221943133112,-0.35893689364305226
-86.28772591786914,-33.257907314192444,-0.35892673850084783
-86.18280811862738,-33.22359328446222,-0.3589165519449562
-86.07788446165183,-33.18927733860896,-0.3589063338355143
-85.97295493615063,-33.154959473101115,-0.35889608403265894
-85.86801953133183,-33.120639684407166,-0.35888580239652706
-85.76307823640366,-33.08631796899561,-0.3588754887872555
-85.65813104057396,-33.051994323334824,-0.35886514306498113
-85.55317793305097,-33.017668743893324,-0.3588547650898409
-85.44821890304277,-32.983341227139576,-0.35884435472197157
-85.34325393975746,-32.94901176954203,-0.35883391182151003
-85.23828303240325,-32.91468036756921,-0.3588234362485933
-85.13330617018799,-32.88034701768949,-0.3588129278633581
-85.0283233423199,-32.84601171637138,-0.3588023865259414
-84.92333453800707,-32.81167446008333,-0.35879181209648
-84.8183397464576,-32.77733524529383,-0.35878120443511075
-84.7133389568797,-32.74299406847136,-0.35877056340197067
-84.6083321584812,-32.708650926084324,-0.3587598888571965
-84.50331934046152,-32.67430581459833,-0.35874918066115785
-84.39830049161128,-32.63995873034517,-0.35873843866523686
